,created_at,product_code,customer_code,status,tipo,nome_tipo
0,2023-05-11 13:01:33,123864811,56613782,NORMAL,6,Anta
2,2023-05-11 13:01:35,135075245,8265203,NORMAL,6,Anta
9,2023-05-11 13:02:59,135052582,56635266,NORMAL,6,Anta
18,2023-05-11 13:01:48,53897037,14669312,NORMAL,6,Anta
22,2023-05-11 13:01:48,53827338,3361113,NORMAL,6,Anta
27,2023-05-11 13:01:48,87360421,1767290,NORMAL,6,Anta
43,2023-05-11 13:01:48,53936458,14675127,NORMAL,6,Anta
51,2023-05-11 13:02:36,69604825,37662193,CRITICO,6,Anta
56,2023-05-11 13:01:49,53697032,14678502,CRITICO,6,Anta
60,2023-05-11 13:01:48,54054327,14629738,NORMAL,6,Anta
64,2023-05-11 13:01:48,93521761,3664759,NORMAL,6,Anta
66,2023-05-11 13:01:49,53940620,14642783,NORMAL,6,Anta
79,2023-05-11 13:01:35,123867281,56614796,NORMAL,6,Anta
93,2023-05-11 13:01:48,53926679,14624420,NORMAL,6,Anta
95,2023-05-11 13:01:35,123861087,56612633,NORMAL,6,Anta
120,2023-05-11 16:15:19,128225709,55635102,NORMAL,6,Anta
124,2023-05-11 13:01:34,123863927,56613532,NORMAL,6,Anta
140,2023-05-11 13:01:34,124449376,56697888,CRITICO,6,Anta
152,2023-05-11 13:01:49,75419450,4769678,CRITICO,6,Anta
153,2023-05-11 13:01:48,53653939,14651289,CRITICO,6,Anta
154,2023-05-11 13:02:58,72831313,31658516,NORMAL,6,Anta
182,2023-05-11 13:01:36,125864088,9961892,NORMAL,6,Anta
186,2023-05-11 13:01:34,124450943,56698109,CRITICO,6,Anta
190,2023-05-11 13:01:34,123862299,56613015,NORMAL,6,Anta
220,2023-05-11 13:01:36,130389684,10685846,NORMAL,6,Anta
224,2023-05-11 13:01:49,54004397,14690669,NORMAL,6,Anta
228,2023-05-11 13:01:48,133815124,57675887,NORMAL,6,Anta
243,2023-05-11 13:01:48,54135069,14650040,NORMAL,6,Anta
246,2023-05-11 13:02:58,135048296,12614852,NORMAL,6,Anta
