,created_at,product_code,customer_code,status,tipo,nome_tipo
23,2023-05-11 13:01:49,89344902,3856666,NORMAL,5,Baleia
28,2023-05-11 13:02:30,126620607,27571391,CRITICO,5,Baleia
36,2023-05-11 13:01:48,94900859,3458996,NORMAL,5,Baleia
46,2023-05-11 13:01:49,135341652,19590788,NORMAL,5,Baleia
48,2023-05-11 13:01:49,85981718,20591514,NORMAL,5,Baleia
68,2023-05-11 13:01:48,135566695,48565235,NORMAL,5,Baleia
76,2023-05-11 13:01:48,54089520,14591560,NORMAL,5,Baleia
82,2023-05-11 13:01:48,54108004,14572958,NORMAL,5,Baleia
83,2023-05-11 16:15:19,124212867,54564759,CRITICO,5,Baleia
128,2023-05-11 13:01:49,53835883,14582242,NORMAL,5,Baleia
135,2023-05-11 13:01:48,53945221,14573786,NORMAL,5,Baleia
137,2023-05-11 13:01:48,129878151,57566585,NORMAL,5,Baleia
143,2023-05-11 13:01:36,135071241,24522768,NORMAL,5,Baleia
200,2023-05-11 13:01:33,109930601,46530157,NORMAL,5,Baleia
202,2023-05-11 13:01:48,73833725,2553115,NORMAL,5,Baleia
204,2023-05-11 13:01:48,62036444,3156941,NORMAL,5,Baleia
206,2023-05-11 13:01:35,134498739,4751816,CRITICO,5,Baleia
214,2023-05-11 13:01:48,96392275,3458515,NORMAL,5,Baleia
225,2023-05-11 13:01:48,135341169,57569764,NORMAL,5,Baleia
231,2023-05-11 13:01:33,108026115,37595386,NORMAL,5,Baleia
235,2023-05-11 13:01:48,53685090,14586663,CRITICO,5,Baleia
270,2023-05-11 13:01:48,123622103,56570058,NORMAL,5,Baleia
281,2023-05-11 13:01:48,54056138,14587607,NORMAL,5,Baleia
330,2023-05-11 13:02:54,81441436,13591160,CRITICO,5,Baleia
344,2023-05-11 13:01:34,135071877,1151681,NORMAL,5,Baleia
345,2023-05-11 16:15:14,124219220,54568674,CRITICO,5,Baleia
350,2023-05-11 13:01:49,87757903,4357403,NORMAL,5,Baleia
362,2023-05-11 13:01:48,85422220,2355866,CRITICO,5,Baleia
372,2023-05-11 13:02:57,135046818,36513705,NORMAL,5,Baleia
381,2023-05-11 13:01:32,123710109,56575641,NORMAL,5,Baleia
396,2023-05-11 13:01:48,89218800,13582140,CRITICO,5,Baleia
409,2023-05-11 13:02:57,135039748,49539989,NORMAL,5,Baleia
412,2023-05-11 13:01:47,134994770,28531498,CRITICO,5,Baleia
428,2023-05-11 13:01:48,54154925,14587363,NORMAL,5,Baleia
458,2023-05-11 13:01:48,75612288,3457344,CRITICO,5,Baleia
471,2023-05-11 13:01:48,129960751,57572042,NORMAL,5,Baleia
500,2023-05-11 13:02:26,126620607,27571391,CRITICO,5,Baleia
515,2023-05-11 13:02:56,135037554,39571091,NORMAL,5,Baleia
524,2023-05-11 13:01:48,53928448,14550039,NORMAL,5,Baleia
527,2023-05-11 13:01:48,92832798,3650201,NORMAL,5,Baleia
537,2023-05-11 13:01:48,85416477,3351729,CRITICO,5,Baleia
545,2023-05-11 13:01:48,55769428,14580598,NORMAL,5,Baleia
567,2023-05-11 13:01:48,53931199,14572304,NORMAL,5,Baleia
579,2023-05-11 13:01:48,123549942,14518649,NORMAL,5,Baleia
580,2023-05-11 13:01:48,123622034,56570032,NORMAL,5,Baleia
606,2023-05-11 13:02:56,135037109,22562913,NORMAL,5,Baleia
609,2023-05-11 13:01:48,54135707,6456428,NORMAL,5,Baleia
618,2023-05-11 13:01:36,131200751,3554628,NORMAL,5,Baleia
620,2023-05-11 13:02:56,81438063,27520066,CRITICO,5,Baleia
625,2023-05-11 13:01:48,85898664,3055243,NORMAL,5,Baleia
627,2023-05-11 13:02:55,135046330,39580165,NORMAL,5,Baleia
659,2023-05-11 13:01:36,131199908,2257307,NORMAL,5,Baleia
675,2023-05-11 13:02:55,135036465,44532993,NORMAL,5,Baleia
689,2023-05-11 13:02:55,72738645,31543352,NORMAL,5,Baleia
690,2023-05-11 13:02:55,72738645,31543352,NORMAL,5,Baleia
691,2023-05-11 13:02:55,72738645,31543352,NORMAL,5,Baleia
695,2023-05-11 13:01:36,135377795,3155299,NORMAL,5,Baleia
724,2023-05-11 13:02:52,81399430,40550898,NORMAL,5,Baleia
729,2023-05-11 13:01:47,69300999,1553883,NORMAL,5,Baleia
757,2023-05-11 13:01:47,85819360,1850451,NORMAL,5,Baleia
764,2023-05-11 13:02:55,81399346,26590162,NORMAL,5,Baleia
772,2023-05-11 13:01:32,121585560,47564384,NORMAL,5,Baleia
780,2023-05-11 13:01:48,67169903,2752362,NORMAL,5,Baleia
786,2023-05-11 13:01:35,128162148,3852073,NORMAL,5,Baleia
808,2023-05-11 13:01:34,122284022,47578673,CRITICO,5,Baleia
816,2023-05-11 13:02:55,135035400,37568696,NORMAL,5,Baleia
859,2023-05-11 13:01:47,85316342,1851003,NORMAL,5,Baleia
867,2023-05-11 13:01:47,134804337,37586361,CRITICO,5,Baleia
870,2023-05-11 13:01:48,129959581,57572091,NORMAL,5,Baleia
877,2023-05-11 13:01:29,135343069,30550159,NORMAL,5,Baleia
894,2023-05-11 13:01:46,85317482,1554546,NORMAL,5,Baleia
917,2023-05-11 13:01:48,122513669,14596604,CRITICO,5,Baleia
926,2023-05-11 13:01:47,85897671,3059010,NORMAL,5,Baleia
932,2023-05-11 13:01:47,135566672,43533253,NORMAL,5,Baleia
974,2023-05-11 13:01:47,88875791,1558393,NORMAL,5,Baleia
982,2023-05-11 16:14:55,131230571,55519183,NORMAL,5,Baleia
993,2023-05-11 13:01:48,69193429,2655142,NORMAL,5,Baleia
1000,2023-05-11 13:02:54,81398796,32543719,NORMAL,5,Baleia
1003,2023-05-11 13:01:32,123863721,46592316,NORMAL,5,Baleia
1011,2023-05-11 13:01:47,103885565,21582372,NORMAL,5,Baleia
1020,2023-05-11 13:01:47,75603606,2059476,CRITICO,5,Baleia
1055,2023-05-11 13:01:46,135152106,635775,NORMAL,5,Baleia
1066,2023-05-11 13:02:53,135032927,36545420,NORMAL,5,Baleia
1071,2023-05-11 13:01:35,130388689,1450879,NORMAL,5,Baleia
1077,2023-05-11 13:02:53,135031047,8350401,NORMAL,5,Baleia
1082,2023-05-11 13:01:46,53258565,11563762,CRITICO,5,Baleia
1089,2023-05-11 13:02:53,135030726,16533630,NORMAL,5,Baleia
1099,2023-05-11 13:01:48,89458309,2053065,CRITICO,5,Baleia
1104,2023-05-11 13:01:47,85454456,585698,CRITICO,5,Baleia
1111,2023-05-11 13:01:48,62642559,3354989,CRITICO,5,Baleia
1113,2023-05-11 13:02:53,135030630,16550675,NORMAL,5,Baleia
1117,2023-05-11 13:01:47,75779214,1559368,NORMAL,5,Baleia
1140,2023-05-11 13:01:47,85414720,1455319,CRITICO,5,Baleia
1147,2023-05-11 13:01:47,89237728,1854564,CRITICO,5,Baleia
1152,2023-05-11 13:01:31,122556155,40572441,CRITICO,5,Baleia
1165,2023-05-11 13:02:53,135029927,23536917,NORMAL,5,Baleia
1172,2023-05-11 13:01:46,61473519,1258935,CRITICO,5,Baleia
1174,2023-05-11 13:02:53,135030032,57563243,NORMAL,5,Baleia
1180,2023-05-11 13:01:47,94488035,1858049,CRITICO,5,Baleia
1202,2023-05-11 13:02:52,81385080,31515779,NORMAL,5,Baleia
1204,2023-05-11 13:01:47,135126572,45580032,NORMAL,5,Baleia
1213,2023-05-11 13:01:47,84702695,3059528,NORMAL,5,Baleia
1227,2023-05-11 13:01:47,62888733,1756168,NORMAL,5,Baleia
1229,2023-05-11 13:01:47,87809894,2359181,NORMAL,5,Baleia
1240,2023-05-11 13:01:46,122265564,1054355,CRITICO,5,Baleia
1275,2023-05-11 13:01:35,134502026,6650947,CRITICO,5,Baleia
1282,2023-05-11 13:02:52,135028766,22563721,NORMAL,5,Baleia
1283,2023-05-11 13:01:46,76100350,1755095,NORMAL,5,Baleia
1289,2023-05-11 13:01:46,86050079,175951,NORMAL,5,Baleia
1345,2023-05-11 13:01:47,135341515,24522439,NORMAL,5,Baleia
1346,2023-05-11 13:01:47,75779741,1754025,NORMAL,5,Baleia
1349,2023-05-11 13:01:46,85494656,1351608,CRITICO,5,Baleia
1372,2023-05-11 13:01:47,135458006,22501662,NORMAL,5,Baleia
1403,2023-05-11 13:01:35,135379808,905471,NORMAL,5,Baleia
1419,2023-05-11 13:01:46,97766212,1759917,NORMAL,5,Baleia
1432,2023-05-11 13:01:47,103846662,28519023,NORMAL,5,Baleia
1453,2023-05-11 13:02:51,135025031,8452274,NORMAL,5,Baleia
1465,2023-05-11 13:01:47,103920503,22541199,NORMAL,5,Baleia
1467,2023-05-11 13:01:46,135487101,46531039,NORMAL,5,Baleia
1468,2023-05-11 13:01:46,84680797,1655692,CRITICO,5,Baleia
1481,2023-05-11 13:02:51,135016586,22545447,NORMAL,5,Baleia
1488,2023-05-11 13:01:33,121585152,47559343,NORMAL,5,Baleia
1498,2023-05-11 13:01:31,125866390,45589285,NORMAL,5,Baleia
1502,2023-05-11 13:02:51,121572231,27558441,NORMAL,5,Baleia
1554,2023-05-11 13:01:47,103806594,93570,NORMAL,5,Baleia
1564,2023-05-11 13:01:47,67168132,605022,NORMAL,5,Baleia
1568,2023-05-11 13:02:51,81381069,39531556,NORMAL,5,Baleia
1605,2023-05-11 13:01:38,135377158,43554360,NORMAL,5,Baleia
1606,2023-05-11 13:02:51,135022533,36593559,NORMAL,5,Baleia
1633,2023-05-11 13:02:50,135021105,24594007,NORMAL,5,Baleia
1646,2023-05-11 13:01:38,135379304,40553271,NORMAL,5,Baleia
1655,2023-05-11 13:02:50,135020725,57520361,NORMAL,5,Baleia
1667,2023-05-11 13:01:46,125456252,635521,NORMAL,5,Baleia
1669,2023-05-11 13:01:46,99990032,275535,NORMAL,5,Baleia
1674,2023-05-11 13:01:46,74097235,565488,NORMAL,5,Baleia
1691,2023-05-11 13:02:50,135018467,53537660,NORMAL,5,Baleia
1693,2023-05-11 13:02:50,135019333,47582256,NORMAL,5,Baleia
1725,2023-05-11 13:01:31,122558596,44543333,CRITICO,5,Baleia
1751,2023-05-11 13:02:50,135019253,36513996,NORMAL,5,Baleia
1762,2023-05-11 13:01:30,123863204,39530809,NORMAL,5,Baleia
1767,2023-05-11 13:01:46,85596173,645126,NORMAL,5,Baleia
1774,2023-05-11 13:01:32,122284404,47598134,CRITICO,5,Baleia
1798,2023-05-11 13:01:45,75618151,20514624,CRITICO,5,Baleia
1802,2023-05-11 13:01:46,69199564,125204,NORMAL,5,Baleia
1819,2023-05-11 13:01:33,108027819,46591246,NORMAL,5,Baleia
1822,2023-05-11 13:02:49,135016586,22545447,NORMAL,5,Baleia
1830,2023-05-11 13:01:46,86035505,1258485,NORMAL,5,Baleia
1834,2023-05-11 13:01:34,109929960,45589373,NORMAL,5,Baleia
1849,2023-05-11 13:02:49,135017294,33520247,NORMAL,5,Baleia
1866,2023-05-11 13:01:45,53342473,11553317,NORMAL,5,Baleia
1873,2023-05-11 13:01:46,99990032,275535,NORMAL,5,Baleia
1883,2023-05-11 13:01:45,53304827,11570809,NORMAL,5,Baleia
1900,2023-05-11 13:02:47,81374305,39584700,NORMAL,5,Baleia
1902,2023-05-11 13:01:32,122284715,47588510,CRITICO,5,Baleia
1909,2023-05-11 13:02:48,135011887,30509316,NORMAL,5,Baleia
1911,2023-05-11 13:01:45,71292040,24584804,CRITICO,5,Baleia
1916,2023-05-11 13:01:46,97794652,305518,NORMAL,5,Baleia
1929,2023-05-11 13:02:49,135016726,36501850,NORMAL,5,Baleia
1955,2023-05-11 13:01:45,53176857,20540376,NORMAL,5,Baleia
1963,2023-05-11 13:02:49,135016057,19531743,NORMAL,5,Baleia
1971,2023-05-11 16:14:27,123396916,55554129,NORMAL,5,Baleia
