,created_at,product_code,customer_code,status,tipo,nome_tipo
5,2023-05-11 13:01:48,134990686,58224948,CRITICO,2,Camelo
6,2023-05-11 13:02:59,135053393,58256884,NORMAL,2,Camelo
10,2023-05-11 13:01:48,134804298,58201399,CRITICO,2,Camelo
16,2023-05-11 13:01:48,135126640,58274398,NORMAL,2,Camelo
19,2023-05-11 13:01:49,135341035,16255735,NORMAL,2,Camelo
30,2023-05-11 13:01:36,134503333,2922007,CRITICO,2,Camelo
44,2023-05-11 13:01:47,94869677,2227709,NORMAL,2,Camelo
45,2023-05-11 13:01:48,134995141,58227757,CRITICO,2,Camelo
47,2023-05-11 13:01:35,134499078,4722294,CRITICO,2,Camelo
72,2023-05-11 13:02:58,135052932,58256663,NORMAL,2,Camelo
73,2023-05-11 13:02:58,135052953,58256659,NORMAL,2,Camelo
78,2023-05-11 13:02:58,135055922,58258180,NORMAL,2,Camelo
87,2023-05-11 13:02:58,135052614,58256494,NORMAL,2,Camelo
90,2023-05-11 13:02:58,135052449,58256411,NORMAL,2,Camelo
92,2023-05-11 13:01:36,135377318,5824417,NORMAL,2,Camelo
102,2023-05-11 13:02:58,135046744,58253510,NORMAL,2,Camelo
103,2023-05-11 13:01:33,109932080,48298944,NORMAL,2,Camelo
106,2023-05-11 13:02:58,135052042,58256177,NORMAL,2,Camelo
115,2023-05-11 13:02:58,135051988,58256160,NORMAL,2,Camelo
123,2023-05-11 13:02:58,135051367,58255782,NORMAL,2,Camelo
127,2023-05-11 13:02:58,135051928,25255131,NORMAL,2,Camelo
132,2023-05-11 13:02:58,135051865,58256120,NORMAL,2,Camelo
155,2023-05-11 13:02:58,135051219,58255760,NORMAL,2,Camelo
156,2023-05-11 13:01:48,85881063,5128761,NORMAL,2,Camelo
162,2023-05-11 13:01:48,89017240,2620547,NORMAL,2,Camelo
164,2023-05-11 13:01:33,130564364,48299349,NORMAL,2,Camelo
173,2023-05-11 13:02:58,135050352,58255335,NORMAL,2,Camelo
177,2023-05-11 13:02:58,135049860,58255059,NORMAL,2,Camelo
179,2023-05-11 13:02:58,135050204,58255247,NORMAL,2,Camelo
181,2023-05-11 13:02:58,135050277,58255295,NORMAL,2,Camelo
188,2023-05-11 13:02:58,135050068,14283587,NORMAL,2,Camelo
195,2023-05-11 13:01:49,58462333,4520069,CRITICO,2,Camelo
198,2023-05-11 13:02:58,81456959,40264860,CRITICO,2,Camelo
201,2023-05-11 13:02:58,135049480,58254881,NORMAL,2,Camelo
