,created_at,product_code,customer_code,status,tipo,nome_tipo
1,2023-05-11 13:01:36,130008404,6075576,NORMAL,7,Capivara
15,2023-05-11 13:01:48,78831151,3476850,NORMAL,7,Capivara
49,2023-05-11 13:01:36,133968294,1470722,NORMAL,7,Capivara
65,2023-05-11 13:01:49,54073284,14784718,NORMAL,7,Capivara
69,2023-05-11 13:01:48,93594377,307321,NORMAL,7,Capivara
75,2023-05-11 13:01:48,53946788,14723143,NORMAL,7,Capivara
80,2023-05-11 13:01:36,130387119,6471967,NORMAL,7,Capivara
89,2023-05-11 13:01:33,122284636,46709729,CRITICO,7,Capivara
98,2023-05-11 13:01:49,85550025,4976686,NORMAL,7,Capivara
111,2023-05-11 13:02:58,135051408,30701361,NORMAL,7,Capivara
114,2023-05-11 13:01:47,103793596,46770128,NORMAL,7,Capivara
146,2023-05-11 13:01:48,78759518,2878256,NORMAL,7,Capivara
149,2023-05-11 13:02:04,70468226,37753725,CRITICO,7,Capivara
157,2023-05-11 13:01:35,130388478,4674275,NORMAL,7,Capivara
163,2023-05-11 13:01:49,54110759,14770777,NORMAL,7,Capivara
175,2023-05-11 13:01:48,76763605,2379427,NORMAL,7,Capivara
180,2023-05-11 13:01:47,103814375,46794690,NORMAL,7,Capivara
196,2023-05-11 13:01:47,103908928,38796305,NORMAL,7,Capivara
213,2023-05-11 13:01:47,103816741,46797570,NORMAL,7,Capivara
217,2023-05-11 13:01:36,128168907,6779425,NORMAL,7,Capivara
221,2023-05-11 13:01:47,103819843,46768875,NORMAL,7,Capivara
229,2023-05-11 13:01:49,81741154,4478739,NORMAL,7,Capivara
233,2023-05-11 13:01:49,54075926,14774553,NORMAL,7,Capivara
245,2023-05-11 13:02:58,135048877,45738857,NORMAL,7,Capivara
267,2023-05-11 13:01:49,53822842,14742443,NORMAL,7,Capivara
277,2023-05-11 13:02:57,135048400,8675390,NORMAL,7,Capivara
287,2023-05-11 13:01:48,53701135,6072683,NORMAL,7,Capivara
298,2023-05-11 13:01:35,125867058,56762243,NORMAL,7,Capivara
309,2023-05-11 13:01:47,103754087,46725145,NORMAL,7,Capivara
316,2023-05-11 13:01:49,53672434,14733603,CRITICO,7,Capivara
319,2023-05-11 13:01:49,54161209,14776687,NORMAL,7,Capivara
336,2023-05-11 13:02:57,135047184,40729332,NORMAL,7,Capivara
338,2023-05-11 13:02:42,96691352,41792273,CRITICO,7,Capivara
341,2023-05-11 13:01:47,103764716,46738417,NORMAL,7,Capivara
347,2023-05-11 13:02:54,94701710,39737862,NORMAL,7,Capivara
348,2023-05-11 13:01:36,133964697,12711199,NORMAL,7,Capivara
351,2023-05-11 13:01:47,135458075,43745644,NORMAL,7,Capivara
355,2023-05-11 13:01:49,53903236,14709220,NORMAL,7,Capivara
360,2023-05-11 13:01:49,54159854,14780042,NORMAL,7,Capivara
361,2023-05-11 13:01:35,135375305,4973648,NORMAL,7,Capivara
366,2023-05-11 13:01:48,135566607,53702172,NORMAL,7,Capivara
367,2023-05-11 13:01:34,125867012,56762221,NORMAL,7,Capivara
369,2023-05-11 13:01:33,104462763,39734513,CRITICO,7,Capivara
371,2023-05-11 13:01:34,125862887,56761472,NORMAL,7,Capivara
374,2023-05-11 13:01:47,85544978,3077148,NORMAL,7,Capivara
383,2023-05-11 13:01:35,135073712,20774000,NORMAL,7,Capivara
410,2023-05-11 13:01:34,122554244,52763028,CRITICO,7,Capivara
415,2023-05-11 13:01:34,125861517,56761236,NORMAL,7,Capivara
416,2023-05-11 13:01:48,86016500,2572337,NORMAL,7,Capivara
419,2023-05-11 13:01:48,53790376,14797159,NORMAL,7,Capivara
420,2023-05-11 13:01:48,54073843,14784840,NORMAL,7,Capivara
424,2023-05-11 13:01:48,53821040,14715044,NORMAL,7,Capivara
434,2023-05-11 13:01:47,103754804,46726231,NORMAL,7,Capivara
436,2023-05-11 13:01:30,135342905,40769559,NORMAL,7,Capivara
443,2023-05-11 13:01:48,53805751,14791981,NORMAL,7,Capivara
457,2023-05-11 13:01:47,74767749,3279170,NORMAL,7,Capivara
462,2023-05-11 13:02:56,135039090,33723277,NORMAL,7,Capivara
464,2023-05-11 13:01:47,85566823,617606,NORMAL,7,Capivara
478,2023-05-11 13:01:47,61992872,3072212,NORMAL,7,Capivara
487,2023-05-11 13:01:35,134498088,9271735,CRITICO,7,Capivara
505,2023-05-11 13:01:48,85430293,2975685,CRITICO,7,Capivara
510,2023-05-11 13:01:48,68863486,2675154,NORMAL,7,Capivara
512,2023-05-11 13:01:47,103816334,46797103,NORMAL,7,Capivara
517,2023-05-11 13:01:34,125862318,56761378,NORMAL,7,Capivara
519,2023-05-11 16:15:09,135491977,55796045,NORMAL,7,Capivara
529,2023-05-11 13:02:56,81438057,20753082,CRITICO,7,Capivara
530,2023-05-11 13:01:47,103796848,46774285,NORMAL,7,Capivara
533,2023-05-11 13:01:48,98093159,3277470,NORMAL,7,Capivara
540,2023-05-11 13:01:47,103788104,46762541,NORMAL,7,Capivara
543,2023-05-11 13:01:47,103810280,46789997,NORMAL,7,Capivara
547,2023-05-11 13:01:34,125866401,56762023,NORMAL,7,Capivara
549,2023-05-11 13:01:47,82179937,3075576,NORMAL,7,Capivara
558,2023-05-11 13:01:48,54130464,14787682,NORMAL,7,Capivara
