,created_at,product_code,customer_code,status,tipo,nome_tipo
17,2023-05-11 13:02:59,135053121,15031649,NORMAL,0,Crocodilo
20,2023-05-11 13:01:49,85452258,43073272,CRITICO,0,Crocodilo
39,2023-05-11 13:02:59,135055963,33084740,NORMAL,0,Crocodilo
74,2023-05-11 13:01:49,85602742,3602438,CRITICO,0,Crocodilo
88,2023-05-11 13:01:49,135341443,14003239,NORMAL,0,Crocodilo
91,2023-05-11 13:01:48,53852320,14046975,NORMAL,0,Crocodilo
119,2023-05-11 13:01:35,134498155,2308585,CRITICO,0,Crocodilo
121,2023-05-11 13:01:48,135340990,47082319,NORMAL,0,Crocodilo
150,2023-05-11 13:01:48,54175615,11071425,NORMAL,0,Crocodilo
160,2023-05-11 13:02:58,135050192,23086466,NORMAL,0,Crocodilo
165,2023-05-11 13:01:48,53752271,5006420,NORMAL,0,Crocodilo
170,2023-05-11 13:01:36,125864618,10058218,NORMAL,0,Crocodilo
172,2023-05-11 13:01:49,85805736,1001006,NORMAL,0,Crocodilo
215,2023-05-11 13:01:49,135331491,21001197,NORMAL,0,Crocodilo
226,2023-05-11 13:02:58,135049241,18081554,NORMAL,0,Crocodilo
252,2023-05-11 13:02:54,67287164,35089813,CRITICO,0,Crocodilo
279,2023-05-11 13:01:48,67083483,2506219,NORMAL,0,Crocodilo
326,2023-05-11 13:01:48,135341262,49076380,NORMAL,0,Crocodilo
327,2023-05-11 13:01:48,85453340,3102981,CRITICO,0,Crocodilo
378,2023-05-11 13:01:30,135342929,58063576,NORMAL,0,Crocodilo
386,2023-05-11 13:01:48,84682833,2604954,CRITICO,0,Crocodilo
393,2023-05-11 13:01:48,134983415,12090040,CRITICO,0,Crocodilo
411,2023-05-11 13:01:35,134932901,58002415,CRITICO,0,Crocodilo
433,2023-05-11 13:01:32,111199354,49022525,NORMAL,0,Crocodilo
444,2023-05-11 13:01:47,85845735,2406542,NORMAL,0,Crocodilo
446,2023-05-11 13:01:36,133965156,3304817,NORMAL,0,Crocodilo
476,2023-05-11 13:01:34,121584675,49018414,NORMAL,0,Crocodilo
501,2023-05-11 13:02:56,81441991,31035701,CRITICO,0,Crocodilo
503,2023-05-11 13:02:56,135038639,23038740,NORMAL,0,Crocodilo
508,2023-05-11 13:01:48,133814806,58011857,NORMAL,0,Crocodilo
542,2023-05-11 13:01:34,121585669,49086625,NORMAL,0,Crocodilo
550,2023-05-11 13:02:56,135037357,1905397,NORMAL,0,Crocodilo
551,2023-05-11 13:01:35,126409165,3601645,CRITICO,0,Crocodilo
561,2023-05-11 13:01:36,135074371,8107999,NORMAL,0,Crocodilo
576,2023-05-11 13:01:48,77985291,21033330,NORMAL,0,Crocodilo
598,2023-05-11 13:01:47,121535012,2800169,NORMAL,0,Crocodilo
602,2023-05-11 13:01:32,111199566,49022636,NORMAL,0,Crocodilo
611,2023-05-11 13:01:48,53780340,14059374,NORMAL,0,Crocodilo
628,2023-05-11 13:01:48,103919875,47002339,NORMAL,0,Crocodilo
638,2023-05-11 13:01:48,87679963,3104089,CRITICO,0,Crocodilo
665,2023-05-11 13:01:35,134502653,4909191,CRITICO,0,Crocodilo
666,2023-05-11 13:01:48,53742219,14080193,NORMAL,0,Crocodilo
680,2023-05-11 13:01:32,111197756,49022136,NORMAL,0,Crocodilo
717,2023-05-11 13:01:47,109412424,36051708,NORMAL,0,Crocodilo
725,2023-05-11 13:02:55,135036327,28078620,NORMAL,0,Crocodilo
777,2023-05-11 13:02:55,135043363,44062517,NORMAL,0,Crocodilo
803,2023-05-11 13:01:47,85443679,2100095,CRITICO,0,Crocodilo
806,2023-05-11 13:01:36,130389790,7402034,NORMAL,0,Crocodilo
810,2023-05-11 13:01:46,97542355,1902450,NORMAL,0,Crocodilo
824,2023-05-11 13:02:54,135035423,15035390,NORMAL,0,Crocodilo
851,2023-05-11 13:01:48,135341560,58078988,NORMAL,0,Crocodilo
862,2023-05-11 13:01:47,135341615,29035504,NORMAL,0,Crocodilo
872,2023-05-11 13:01:48,53860020,14019115,NORMAL,0,Crocodilo
912,2023-05-11 13:02:54,67287164,35089813,CRITICO,0,Crocodilo
913,2023-05-11 13:01:48,103920217,47003163,NORMAL,0,Crocodilo
934,2023-05-11 13:01:29,135342917,30054204,NORMAL,0,Crocodilo
947,2023-05-11 13:01:48,104154880,47072546,CRITICO,0,Crocodilo
950,2023-05-11 13:01:48,79882215,3408719,NORMAL,0,Crocodilo
955,2023-05-11 13:01:47,103874050,35050491,NORMAL,0,Crocodilo
960,2023-05-11 13:01:32,109942503,35065633,NORMAL,0,Crocodilo
978,2023-05-11 13:01:46,91212705,740998,CRITICO,0,Crocodilo
979,2023-05-11 13:02:54,135033879,25065635,NORMAL,0,Crocodilo
1028,2023-05-11 13:01:47,86250775,1108207,CRITICO,0,Crocodilo
1058,2023-05-11 13:02:53,135032696,45041811,NORMAL,0,Crocodilo
1065,2023-05-11 13:01:47,76685337,1007388,CRITICO,0,Crocodilo
1095,2023-05-11 13:01:47,85546325,1507362,NORMAL,0,Crocodilo
1105,2023-05-11 13:01:47,82168345,2809307,NORMAL,0,Crocodilo
1107,2023-05-11 13:02:53,135031705,45067951,NORMAL,0,Crocodilo
1123,2023-05-11 13:01:47,135566658,14032137,NORMAL,0,Crocodilo
1129,2023-05-11 13:01:47,84692540,2403188,CRITICO,0,Crocodilo
1189,2023-05-11 13:01:47,103209430,1200875,NORMAL,0,Crocodilo
1208,2023-05-11 13:01:47,135566686,39050801,NORMAL,0,Crocodilo
1209,2023-05-11 13:02:52,135029643,47009369,NORMAL,0,Crocodilo
1214,2023-05-11 13:01:47,135566692,4909021,NORMAL,0,Crocodilo
1257,2023-05-11 13:01:46,135475409,25077957,NORMAL,0,Crocodilo
1274,2023-05-11 13:01:46,96393948,740252,NORMAL,0,Crocodilo
1281,2023-05-11 13:01:47,61512677,1707926,NORMAL,0,Crocodilo
1302,2023-05-11 13:01:47,135566662,36053494,NORMAL,0,Crocodilo
1339,2023-05-11 13:01:46,86263846,1505906,CRITICO,0,Crocodilo
1405,2023-05-11 13:02:51,135025791,43064740,NORMAL,0,Crocodilo
1428,2023-05-11 13:01:46,85214100,940077,CRITICO,0,Crocodilo
1429,2023-05-11 13:02:51,135024991,51083840,NORMAL,0,Crocodilo
1443,2023-05-11 13:01:47,135566629,11080627,NORMAL,0,Crocodilo
1451,2023-05-11 13:01:47,93574341,1508508,NORMAL,0,Crocodilo
1459,2023-05-11 13:01:47,85496889,2208905,CRITICO,0,Crocodilo
1461,2023-05-11 13:01:47,96397373,1700387,NORMAL,0,Crocodilo
1469,2023-05-11 13:01:45,61473565,13004652,CRITICO,0,Crocodilo
1471,2023-05-11 13:01:46,60975256,1805400,NORMAL,0,Crocodilo
1474,2023-05-11 13:01:47,103839539,17000835,NORMAL,0,Crocodilo
1500,2023-05-11 13:02:51,135386422,7205259,NORMAL,0,Crocodilo
1504,2023-05-11 13:01:46,78831248,650002,NORMAL,0,Crocodilo
1520,2023-05-11 13:01:46,78786913,2200078,NORMAL,0,Crocodilo
1539,2023-05-11 13:01:46,89135590,810172,NORMAL,0,Crocodilo
1567,2023-05-11 13:01:46,86043807,610116,NORMAL,0,Crocodilo
1570,2023-05-11 13:01:47,65684919,1900647,CRITICO,0,Crocodilo
1620,2023-05-11 13:01:32,111198759,49022370,NORMAL,0,Crocodilo
1623,2023-05-11 13:02:51,135021892,18010045,NORMAL,0,Crocodilo
1624,2023-05-11 13:02:50,135020574,43068242,NORMAL,0,Crocodilo
1660,2023-05-11 13:02:50,81381798,13082366,NORMAL,0,Crocodilo
1668,2023-05-11 13:01:31,122557935,42043847,CRITICO,0,Crocodilo
1676,2023-05-11 13:01:34,134933211,58003178,CRITICO,0,Crocodilo
1690,2023-05-11 13:02:50,135019625,28089289,NORMAL,0,Crocodilo
1696,2023-05-11 13:02:50,135019430,6700742,NORMAL,0,Crocodilo
1730,2023-05-11 13:01:46,83011045,2209846,NORMAL,0,Crocodilo
1746,2023-05-11 13:01:46,84695407,960606,CRITICO,0,Crocodilo
1763,2023-05-11 13:01:46,103098306,310005,NORMAL,0,Crocodilo
1783,2023-05-11 13:02:50,135017938,50064099,NORMAL,0,Crocodilo
1793,2023-05-11 13:01:46,109485046,1302504,NORMAL,0,Crocodilo
1824,2023-05-11 13:01:46,85429269,620502,CRITICO,0,Crocodilo
1859,2023-05-11 13:01:32,121584227,49029652,NORMAL,0,Crocodilo
1862,2023-05-11 13:01:46,61993722,400529,NORMAL,0,Crocodilo
1889,2023-05-11 13:01:45,71183977,20047843,NORMAL,0,Crocodilo
1914,2023-05-11 13:01:45,71456345,34009720,CRITICO,0,Crocodilo
1920,2023-05-11 13:01:45,71196091,20062088,NORMAL,0,Crocodilo
1927,2023-05-11 13:01:46,92898577,30028240,NORMAL,0,Crocodilo
1951,2023-05-11 13:01:37,49646493,28067557,CRITICO,0,Crocodilo
1962,2023-05-11 13:02:49,135013118,36067263,NORMAL,0,Crocodilo
1977,2023-05-11 13:01:45,86029399,410612,NORMAL,0,Crocodilo
1980,2023-05-11 13:01:36,135073735,2105308,NORMAL,0,Crocodilo
1983,2023-05-11 13:01:30,109927695,30034041,NORMAL,0,Crocodilo
2017,2023-05-11 13:01:45,93647042,840376,CRITICO,0,Crocodilo
2032,2023-05-11 13:01:35,126409288,3603797,CRITICO,0,Crocodilo
2051,2023-05-11 13:01:45,71230800,15080104,CRITICO,0,Crocodilo
2121,2023-05-11 13:01:45,67136047,8500332,NORMAL,0,Crocodilo
2130,2023-05-11 13:02:48,135010309,9606808,NORMAL,0,Crocodilo
