,created_at,product_code,customer_code,status,tipo,nome_tipo
31,2023-05-11 13:01:34,122554794,48146511,CRITICO,1,Elefante
34,2023-05-11 13:01:48,134472969,58107554,CRITICO,1,Elefante
37,2023-05-11 13:01:36,134500027,10147972,CRITICO,1,Elefante
58,2023-05-11 13:01:34,122555874,56178041,CRITICO,1,Elefante
77,2023-05-11 13:01:34,122284039,56111710,CRITICO,1,Elefante
96,2023-05-11 13:01:34,125864300,56134626,NORMAL,1,Elefante
107,2023-05-11 13:01:48,53740608,14161257,NORMAL,1,Elefante
108,2023-05-11 13:01:48,105017280,3316088,NORMAL,1,Elefante
118,2023-05-11 13:02:58,81448519,36102097,CRITICO,1,Elefante
122,2023-05-11 13:01:33,122273568,56109405,CRITICO,1,Elefante
125,2023-05-11 13:02:58,81453434,39116939,CRITICO,1,Elefante
139,2023-05-11 13:02:58,135050687,34121415,NORMAL,1,Elefante
145,2023-05-11 13:01:34,122271851,56108904,CRITICO,1,Elefante
151,2023-05-11 13:01:36,131201095,18144814,NORMAL,1,Elefante
159,2023-05-11 13:01:48,53651637,1312161,CRITICO,1,Elefante
171,2023-05-11 13:01:48,93648340,221823,CRITICO,1,Elefante
185,2023-05-11 13:01:34,123867909,48162413,NORMAL,1,Elefante
194,2023-05-11 13:01:33,122284913,56112092,CRITICO,1,Elefante
216,2023-05-11 13:01:34,122552043,56177144,CRITICO,1,Elefante
219,2023-05-11 13:02:54,81398981,31180494,NORMAL,1,Elefante
222,2023-05-11 13:01:48,135126611,50152102,NORMAL,1,Elefante
232,2023-05-11 13:02:58,135049858,56146278,NORMAL,1,Elefante
244,2023-05-11 13:01:34,121584641,48148233,NORMAL,1,Elefante
264,2023-05-11 13:01:49,111026559,16198747,NORMAL,1,Elefante
294,2023-05-11 13:02:57,135047923,52186717,NORMAL,1,Elefante
303,2023-05-11 13:02:57,135047745,38163149,NORMAL,1,Elefante
321,2023-05-11 13:01:36,134501569,25135252,CRITICO,1,Elefante
329,2023-05-11 13:01:48,135566693,56128541,NORMAL,1,Elefante
332,2023-05-11 13:01:48,134672523,58142617,CRITICO,1,Elefante
343,2023-05-11 13:01:35,122284980,56112132,CRITICO,1,Elefante
353,2023-05-11 13:01:32,122559392,56179100,CRITICO,1,Elefante
363,2023-05-11 13:02:57,81441239,34118532,CRITICO,1,Elefante
375,2023-05-11 13:01:34,122555809,56178030,CRITICO,1,Elefante
387,2023-05-11 13:01:35,122553243,56177459,CRITICO,1,Elefante
388,2023-05-11 16:15:12,135501472,55196638,NORMAL,1,Elefante
389,2023-05-11 13:01:35,128178786,4117386,NORMAL,1,Elefante
392,2023-05-11 13:01:48,98681004,3410183,CRITICO,1,Elefante
398,2023-05-11 13:01:35,134500050,6616494,CRITICO,1,Elefante
404,2023-05-11 13:02:57,135039901,27163489,NORMAL,1,Elefante
418,2023-05-11 13:01:30,135342848,42152924,NORMAL,1,Elefante
431,2023-05-11 13:02:56,135039591,42129001,NORMAL,1,Elefante
432,2023-05-11 13:01:48,78831143,3315455,NORMAL,1,Elefante
435,2023-05-11 13:01:35,122271692,56108829,CRITICO,1,Elefante
442,2023-05-11 13:02:56,81443052,3410333,CRITICO,1,Elefante
465,2023-05-11 13:01:48,53893122,14119624,NORMAL,1,Elefante
492,2023-05-11 13:02:56,67286451,11180245,CRITICO,1,Elefante
493,2023-05-11 13:01:47,135340665,40159164,NORMAL,1,Elefante
497,2023-05-11 13:02:56,135038384,42159429,NORMAL,1,Elefante
506,2023-05-11 13:01:32,134934432,12178071,CRITICO,1,Elefante
520,2023-05-11 13:01:32,122271458,56108736,CRITICO,1,Elefante
522,2023-05-11 16:15:08,135495619,55157760,NORMAL,1,Elefante
523,2023-05-11 13:01:30,135342940,39168994,NORMAL,1,Elefante
578,2023-05-11 13:01:29,135342894,38119281,NORMAL,1,Elefante
586,2023-05-11 13:01:36,134498880,5019902,CRITICO,1,Elefante
591,2023-05-11 13:01:48,53658641,2717398,CRITICO,1,Elefante
600,2023-05-11 13:02:56,135036927,4919046,NORMAL,1,Elefante
610,2023-05-11 13:01:32,122559135,49124259,CRITICO,1,Elefante
651,2023-05-11 13:01:29,135342930,34102114,NORMAL,1,Elefante
654,2023-05-11 13:02:55,135036478,49124806,NORMAL,1,Elefante
676,2023-05-11 13:01:48,98202900,3610910,CRITICO,1,Elefante
681,2023-05-11 13:01:34,122556301,56178094,CRITICO,1,Elefante
693,2023-05-11 13:01:36,134498494,2313483,CRITICO,1,Elefante
712,2023-05-11 13:01:36,126407107,131521,CRITICO,1,Elefante
720,2023-05-11 13:01:48,122392320,56142616,CRITICO,1,Elefante
727,2023-05-11 13:01:34,122558268,56178582,CRITICO,1,Elefante
748,2023-05-11 13:01:36,135074484,14118984,NORMAL,1,Elefante
775,2023-05-11 13:01:32,122285332,56112327,CRITICO,1,Elefante
793,2023-05-11 13:01:47,135566581,43185006,NORMAL,1,Elefante
809,2023-05-11 13:01:34,111711449,49149062,NORMAL,1,Elefante
827,2023-05-11 13:01:48,135566603,47136791,NORMAL,1,Elefante
835,2023-05-11 13:02:54,135035063,4910998,NORMAL,1,Elefante
852,2023-05-11 13:01:34,108614237,47129589,NORMAL,1,Elefante
856,2023-05-11 13:02:54,135035033,10167948,NORMAL,1,Elefante
857,2023-05-11 13:02:54,81398981,31180494,NORMAL,1,Elefante
858,2023-05-11 13:01:47,135566626,11191007,NORMAL,1,Elefante
