,created_at,product_code,customer_code,status,tipo,nome_tipo
3,2023-05-11 13:01:49,135566587,58354523,NORMAL,3,Gorila
4,2023-05-11 13:02:59,135055971,27344167,NORMAL,3,Gorila
8,2023-05-11 13:01:34,109942228,48305129,NORMAL,3,Gorila
11,2023-05-11 13:02:59,135053063,47354809,NORMAL,3,Gorila
13,2023-05-11 13:01:48,135341634,58308284,NORMAL,3,Gorila
33,2023-05-11 13:02:59,81445209,41318180,CRITICO,3,Gorila
40,2023-05-11 13:01:48,135341522,58308192,NORMAL,3,Gorila
42,2023-05-11 13:01:48,135458031,58329878,NORMAL,3,Gorila
52,2023-05-11 13:01:48,80331755,4035085,NORMAL,3,Gorila
55,2023-05-11 13:01:33,121570208,38320047,NORMAL,3,Gorila
62,2023-05-11 13:01:36,134499837,7732215,CRITICO,3,Gorila
67,2023-05-11 13:02:58,81457606,11308174,CRITICO,3,Gorila
71,2023-05-11 13:01:33,109937242,48302099,NORMAL,3,Gorila
94,2023-05-11 13:01:48,135341572,58308280,NORMAL,3,Gorila
104,2023-05-11 13:01:48,96040980,2836927,NORMAL,3,Gorila
105,2023-05-11 13:02:58,81457925,41324498,CRITICO,3,Gorila
110,2023-05-11 13:01:48,135341642,58308230,NORMAL,3,Gorila
116,2023-05-11 13:02:58,81453691,41322213,CRITICO,3,Gorila
129,2023-05-11 13:02:58,81456728,41323885,CRITICO,3,Gorila
133,2023-05-11 13:01:49,135566699,58354597,NORMAL,3,Gorila
134,2023-05-11 13:01:48,122390102,1232213,CRITICO,3,Gorila
142,2023-05-11 13:01:49,73212980,4232009,CRITICO,3,Gorila
144,2023-05-11 13:01:48,135458018,58329879,NORMAL,3,Gorila
148,2023-05-11 13:02:58,81453886,41322314,CRITICO,3,Gorila
166,2023-05-11 13:01:48,135340677,58307559,NORMAL,3,Gorila
168,2023-05-11 13:01:48,135341496,58308023,NORMAL,3,Gorila
174,2023-05-11 13:01:49,135566676,58354586,NORMAL,3,Gorila
192,2023-05-11 13:01:49,135566643,58354568,NORMAL,3,Gorila
197,2023-05-11 13:01:49,135566694,58354596,NORMAL,3,Gorila
211,2023-05-11 13:02:58,135049522,34308996,NORMAL,3,Gorila
223,2023-05-11 13:02:58,81456823,41323942,CRITICO,3,Gorila
236,2023-05-11 13:02:58,81444155,31379119,CRITICO,3,Gorila
239,2023-05-11 13:01:49,135566641,58354570,NORMAL,3,Gorila
249,2023-05-11 13:01:49,135458099,58329920,NORMAL,3,Gorila
250,2023-05-11 13:02:58,81444419,41317741,CRITICO,3,Gorila
255,2023-05-11 13:01:49,135566640,58354535,NORMAL,3,Gorila
260,2023-05-11 13:02:58,81441723,41316268,CRITICO,3,Gorila
261,2023-05-11 13:01:48,135457977,58329840,NORMAL,3,Gorila
266,2023-05-11 13:01:49,135566621,58354558,NORMAL,3,Gorila
272,2023-05-11 13:01:49,135566619,58354553,NORMAL,3,Gorila
276,2023-05-11 13:01:49,135458116,58329901,NORMAL,3,Gorila
284,2023-05-11 13:01:49,135458071,58329912,NORMAL,3,Gorila
291,2023-05-11 13:02:57,81441459,41316110,CRITICO,3,Gorila
292,2023-05-11 13:01:33,109938256,48302714,NORMAL,3,Gorila
295,2023-05-11 13:01:48,111483465,4130449,NORMAL,3,Gorila
310,2023-05-11 13:01:35,134499007,2830011,CRITICO,3,Gorila
311,2023-05-11 13:01:48,86050376,2439423,NORMAL,3,Gorila
313,2023-05-11 13:02:57,81441582,41316186,CRITICO,3,Gorila
320,2023-05-11 13:01:48,135458077,58329880,NORMAL,3,Gorila
322,2023-05-11 13:01:48,135458050,58329894,NORMAL,3,Gorila
323,2023-05-11 13:01:48,134672853,3838846,CRITICO,3,Gorila
325,2023-05-11 13:01:48,135458073,58329888,NORMAL,3,Gorila
328,2023-05-11 13:01:48,135458002,58329861,NORMAL,3,Gorila
335,2023-05-11 13:01:48,135341448,58308125,NORMAL,3,Gorila
339,2023-05-11 13:01:36,135074574,18309925,NORMAL,3,Gorila
340,2023-05-11 13:01:35,134494073,1539563,CRITICO,3,Gorila
342,2023-05-11 13:01:49,135566583,58354536,NORMAL,3,Gorila
346,2023-05-11 13:01:48,135458058,58329858,NORMAL,3,Gorila
356,2023-05-11 13:01:48,135458007,58329864,NORMAL,3,Gorila
357,2023-05-11 13:02:57,81443464,41317222,CRITICO,3,Gorila
365,2023-05-11 13:01:48,135458024,58329851,NORMAL,3,Gorila
379,2023-05-11 13:02:57,81441684,41316249,CRITICO,3,Gorila
382,2023-05-11 13:01:48,135341428,58308046,NORMAL,3,Gorila
395,2023-05-11 13:01:48,135458034,58329887,NORMAL,3,Gorila
397,2023-05-11 13:02:57,81439400,41314958,CRITICO,3,Gorila
400,2023-05-11 13:01:34,109943533,48306037,NORMAL,3,Gorila
422,2023-05-11 13:01:32,121575451,50398572,NORMAL,3,Gorila
423,2023-05-11 13:01:48,135341529,58308212,NORMAL,3,Gorila
437,2023-05-11 13:02:56,130139813,47341984,NORMAL,3,Gorila
439,2023-05-11 13:01:48,85823093,2636596,NORMAL,3,Gorila
441,2023-05-11 13:01:36,135066386,22329063,NORMAL,3,Gorila
447,2023-05-11 13:01:48,135341396,58307936,NORMAL,3,Gorila
450,2023-05-11 13:02:56,81442347,41316628,CRITICO,3,Gorila
455,2023-05-11 13:01:34,108026878,47389362,NORMAL,3,Gorila
456,2023-05-11 13:02:56,81442577,41316755,CRITICO,3,Gorila
463,2023-05-11 13:02:56,81441285,41315987,CRITICO,3,Gorila
474,2023-05-11 13:01:48,135340771,58307692,NORMAL,3,Gorila
475,2023-05-11 13:01:43,135489400,58341011,NORMAL,3,Gorila
479,2023-05-11 13:02:56,81440934,41315802,CRITICO,3,Gorila
480,2023-05-11 13:01:42,135481403,58337222,NORMAL,3,Gorila
481,2023-05-11 13:01:48,135341064,58307926,NORMAL,3,Gorila
483,2023-05-11 13:01:48,135341752,58307975,NORMAL,3,Gorila
484,2023-05-11 13:01:32,109938874,48303082,NORMAL,3,Gorila
486,2023-05-11 13:01:43,135487781,58340233,NORMAL,3,Gorila
488,2023-05-11 13:01:48,54088234,14376443,NORMAL,3,Gorila
490,2023-05-11 13:01:48,135341582,58307843,NORMAL,3,Gorila
494,2023-05-11 13:01:48,135341733,58307771,NORMAL,3,Gorila
502,2023-05-11 13:01:48,135341509,58308221,NORMAL,3,Gorila
504,2023-05-11 13:01:43,135489519,58341052,NORMAL,3,Gorila
513,2023-05-11 13:01:48,135341013,58307680,NORMAL,3,Gorila
514,2023-05-11 13:01:48,135341719,58307728,NORMAL,3,Gorila
516,2023-05-11 13:01:48,135340958,58307759,NORMAL,3,Gorila
531,2023-05-11 13:01:48,135341535,58308233,NORMAL,3,Gorila
541,2023-05-11 13:01:36,130006361,2830666,NORMAL,3,Gorila
552,2023-05-11 13:02:56,81440764,41315721,CRITICO,3,Gorila
554,2023-05-11 13:01:48,135340694,58307598,NORMAL,3,Gorila
555,2023-05-11 13:01:35,126409748,2831769,CRITICO,3,Gorila
556,2023-05-11 13:01:48,135341254,58308032,NORMAL,3,Gorila
557,2023-05-11 13:01:48,135341314,58308006,NORMAL,3,Gorila
560,2023-05-11 13:02:56,81437957,41314178,CRITICO,3,Gorila
562,2023-05-11 13:01:32,109942653,48305401,NORMAL,3,Gorila
597,2023-05-11 13:01:48,135566701,58305224,NORMAL,3,Gorila
599,2023-05-11 13:01:48,135340680,58307577,NORMAL,3,Gorila
607,2023-05-11 13:01:48,102361923,3139790,CRITICO,3,Gorila
613,2023-05-11 13:01:48,135341119,54328765,NORMAL,3,Gorila
632,2023-05-11 13:02:55,122418051,20348896,CRITICO,3,Gorila
633,2023-05-11 13:02:55,122418051,20348896,CRITICO,3,Gorila
634,2023-05-11 13:02:55,122418051,20348896,CRITICO,3,Gorila
637,2023-05-11 13:01:48,107847681,14398693,NORMAL,3,Gorila
640,2023-05-11 13:01:34,109934907,48300618,NORMAL,3,Gorila
643,2023-05-11 13:02:55,81399391,40384468,NORMAL,3,Gorila
644,2023-05-11 13:01:47,135341723,44306376,NORMAL,3,Gorila
645,2023-05-11 13:01:35,126406239,1837183,CRITICO,3,Gorila
649,2023-05-11 13:02:55,135036619,17341840,NORMAL,3,Gorila
705,2023-05-11 13:01:48,135566610,57321921,NORMAL,3,Gorila
707,2023-05-11 13:01:33,108024632,47388621,NORMAL,3,Gorila
715,2023-05-11 13:01:48,87695819,2636019,CRITICO,3,Gorila
735,2023-05-11 13:01:48,53997629,1632439,NORMAL,3,Gorila
758,2023-05-11 13:01:47,77138003,3033508,NORMAL,3,Gorila
761,2023-05-11 13:01:33,108026052,47388888,NORMAL,3,Gorila
762,2023-05-11 13:02:55,135035491,16313438,NORMAL,3,Gorila
767,2023-05-11 13:01:36,130005334,9838208,NORMAL,3,Gorila
781,2023-05-11 13:02:55,81398801,25396000,NORMAL,3,Gorila
782,2023-05-11 13:02:55,135035613,41342603,NORMAL,3,Gorila
790,2023-05-11 13:01:47,89408226,1632491,CRITICO,3,Gorila
792,2023-05-11 13:01:48,69294541,3033841,CRITICO,3,Gorila
804,2023-05-11 13:01:34,105099684,47303064,NORMAL,3,Gorila
829,2023-05-11 13:02:54,135035340,43319307,NORMAL,3,Gorila
831,2023-05-11 13:01:47,87625171,2834835,CRITICO,3,Gorila
834,2023-05-11 13:01:48,72595190,3535185,NORMAL,3,Gorila
842,2023-05-11 13:02:54,81398976,20399646,NORMAL,3,Gorila
866,2023-05-11 13:01:32,109936914,48301868,NORMAL,3,Gorila
884,2023-05-11 13:01:46,135506941,58349334,NORMAL,3,Gorila
911,2023-05-11 13:01:48,69407272,1638589,CRITICO,3,Gorila
915,2023-05-11 13:01:48,107825938,47340391,NORMAL,3,Gorila
922,2023-05-11 13:01:36,135376562,20324154,NORMAL,3,Gorila
928,2023-05-11 13:01:34,109943418,48305906,NORMAL,3,Gorila
930,2023-05-11 13:02:54,135034289,323189,NORMAL,3,Gorila
951,2023-05-11 13:01:35,135071141,4930387,NORMAL,3,Gorila
962,2023-05-11 13:01:47,88834243,1838997,NORMAL,3,Gorila
976,2023-05-11 13:01:32,108025873,47388844,NORMAL,3,Gorila
977,2023-05-11 13:01:36,134502213,20340084,CRITICO,3,Gorila
981,2023-05-11 13:02:54,135032973,41328451,NORMAL,3,Gorila
989,2023-05-11 13:01:48,88902240,3032901,NORMAL,3,Gorila
996,2023-05-11 13:01:47,103804638,31394044,NORMAL,3,Gorila
1007,2023-05-11 13:01:45,135504801,58348355,NORMAL,3,Gorila
1008,2023-05-11 13:01:48,87682978,2636913,CRITICO,3,Gorila
1034,2023-05-11 13:01:48,78759195,2036709,NORMAL,3,Gorila
1045,2023-05-11 13:02:53,81397909,12392532,NORMAL,3,Gorila
1073,2023-05-11 13:01:34,109941045,48304423,NORMAL,3,Gorila
1080,2023-05-11 13:02:51,81377458,27391388,NORMAL,3,Gorila
1120,2023-05-11 13:01:47,86051436,2632182,NORMAL,3,Gorila
1134,2023-05-11 13:02:53,135030582,52340972,NORMAL,3,Gorila
1135,2023-05-11 16:14:51,135498060,55374073,NORMAL,3,Gorila
1137,2023-05-11 13:01:45,135505692,58348768,NORMAL,3,Gorila
1145,2023-05-11 13:01:34,105099473,47302958,NORMAL,3,Gorila
1148,2023-05-11 13:01:46,73966706,1130644,NORMAL,3,Gorila
1194,2023-05-11 13:01:47,85551924,2738359,NORMAL,3,Gorila
1196,2023-05-11 13:01:31,109936049,48301345,NORMAL,3,Gorila
1203,2023-05-11 13:01:47,78077605,1638547,NORMAL,3,Gorila
