,created_at,product_code,customer_code,status,tipo,nome_tipo
12,2023-05-11 13:01:49,84681532,42856272,CRITICO,8,Lontra
14,2023-05-11 13:01:49,130907332,33815482,NORMAL,8,Lontra
21,2023-05-11 13:02:59,81460661,4181770,CRITICO,8,Lontra
24,2023-05-11 13:01:33,121585298,55849799,NORMAL,8,Lontra
35,2023-05-11 13:01:34,121569416,55845734,NORMAL,8,Lontra
38,2023-05-11 13:01:49,54010457,14881937,NORMAL,8,Lontra
41,2023-05-11 13:02:59,135052974,15849300,NORMAL,8,Lontra
50,2023-05-11 13:01:49,103809691,24862303,NORMAL,8,Lontra
57,2023-05-11 13:01:34,121585434,55849855,NORMAL,8,Lontra
61,2023-05-11 13:01:49,135265043,11843141,NORMAL,8,Lontra
84,2023-05-11 13:01:35,135075975,788454,NORMAL,8,Lontra
85,2023-05-11 16:15:19,127798878,54885509,NORMAL,8,Lontra
86,2023-05-11 13:01:49,85587343,3281932,NORMAL,8,Lontra
97,2023-05-11 13:01:34,121584096,55849235,NORMAL,8,Lontra
99,2023-05-11 13:01:48,74497328,2584467,CRITICO,8,Lontra
112,2023-05-11 13:01:49,54036111,14823003,NORMAL,8,Lontra
117,2023-05-11 13:01:48,53902368,14874425,NORMAL,8,Lontra
126,2023-05-11 13:01:49,55768731,14850162,NORMAL,8,Lontra
131,2023-05-11 13:01:48,75599852,2486912,NORMAL,8,Lontra
138,2023-05-11 13:01:48,53825094,14865782,NORMAL,8,Lontra
167,2023-05-11 13:01:48,103853582,46859858,NORMAL,8,Lontra
176,2023-05-11 13:01:48,103876912,46892407,NORMAL,8,Lontra
178,2023-05-11 13:01:35,135375166,14817659,NORMAL,8,Lontra
184,2023-05-11 13:01:49,132618872,2681836,CRITICO,8,Lontra
187,2023-05-11 13:01:36,135378449,3580884,NORMAL,8,Lontra
189,2023-05-11 13:01:48,85594857,4381207,NORMAL,8,Lontra
199,2023-05-11 13:01:49,53686518,14894449,CRITICO,8,Lontra
203,2023-05-11 13:01:35,135072809,8880773,NORMAL,8,Lontra
209,2023-05-11 13:01:49,55771018,14880632,NORMAL,8,Lontra
237,2023-05-11 13:01:49,54162425,14834632,NORMAL,8,Lontra
251,2023-05-11 13:01:47,97129665,36847657,NORMAL,8,Lontra
268,2023-05-11 13:01:32,121572316,55846708,NORMAL,8,Lontra
271,2023-05-11 13:02:57,135048767,36849372,NORMAL,8,Lontra
274,2023-05-11 13:01:36,135071788,20814931,NORMAL,8,Lontra
275,2023-05-11 13:01:34,121584519,55849439,NORMAL,8,Lontra
285,2023-05-11 13:01:49,53715621,14815165,NORMAL,8,Lontra
288,2023-05-11 13:01:49,53968930,14843074,NORMAL,8,Lontra
290,2023-05-11 13:01:47,103835414,46822018,NORMAL,8,Lontra
299,2023-05-11 13:01:32,121575667,55847769,NORMAL,8,Lontra
314,2023-05-11 13:01:36,135377981,27848443,NORMAL,8,Lontra
324,2023-05-11 13:01:34,121583913,55849143,NORMAL,8,Lontra
349,2023-05-11 13:01:35,134500484,17844171,CRITICO,8,Lontra
368,2023-05-11 13:01:36,135071690,8286541,NORMAL,8,Lontra
373,2023-05-11 13:01:35,135067978,6888855,NORMAL,8,Lontra
380,2023-05-11 13:02:57,135039999,52884369,NORMAL,8,Lontra
394,2023-05-11 16:15:12,135040442,54830873,NORMAL,8,Lontra
399,2023-05-11 13:01:36,130386135,11872130,NORMAL,8,Lontra
401,2023-05-11 13:01:48,93811012,2888966,NORMAL,8,Lontra
414,2023-05-11 13:01:34,121578012,55848838,NORMAL,8,Lontra
426,2023-05-11 13:01:47,103819992,46801442,NORMAL,8,Lontra
427,2023-05-11 13:01:49,53769478,14884827,NORMAL,8,Lontra
429,2023-05-11 13:01:48,53900874,14857721,NORMAL,8,Lontra
452,2023-05-11 13:01:32,134934466,20816507,CRITICO,8,Lontra
466,2023-05-11 13:01:35,128161297,6789705,NORMAL,8,Lontra
467,2023-05-11 13:01:34,121569532,55845777,NORMAL,8,Lontra
469,2023-05-11 13:01:34,121584635,55849497,NORMAL,8,Lontra
472,2023-05-11 13:02:56,135039008,44890554,NORMAL,8,Lontra
482,2023-05-11 13:01:47,76801786,4284366,NORMAL,8,Lontra
536,2023-05-11 13:01:48,53790258,14852885,NORMAL,8,Lontra
553,2023-05-11 13:01:48,111030018,11872516,NORMAL,8,Lontra
566,2023-05-11 13:01:48,71507864,3185343,NORMAL,8,Lontra
574,2023-05-11 13:01:35,130389188,678350,NORMAL,8,Lontra
581,2023-05-11 13:01:47,88925716,3182755,NORMAL,8,Lontra
585,2023-05-11 13:01:34,121584250,55849301,NORMAL,8,Lontra
589,2023-05-11 13:01:47,103824349,46807087,NORMAL,8,Lontra
596,2023-05-11 13:01:34,121576607,55848151,NORMAL,8,Lontra
604,2023-05-11 13:01:35,134495721,6680231,CRITICO,8,Lontra
605,2023-05-11 13:01:34,121585705,55849984,NORMAL,8,Lontra
616,2023-05-11 13:01:34,121585756,55850006,NORMAL,8,Lontra
626,2023-05-11 13:01:34,121583952,55849167,NORMAL,8,Lontra
629,2023-05-11 13:01:33,126218482,56815966,CRITICO,8,Lontra
641,2023-05-11 13:01:32,109942406,40871088,NORMAL,8,Lontra
647,2023-05-11 13:01:32,121570714,55846180,NORMAL,8,Lontra
722,2023-05-11 13:01:48,60270147,318053,CRITICO,8,Lontra
731,2023-05-11 13:01:48,89214177,2689877,CRITICO,8,Lontra
749,2023-05-11 13:02:55,135036104,37862476,NORMAL,8,Lontra
756,2023-05-11 13:01:48,78739439,13871113,NORMAL,8,Lontra
805,2023-05-11 13:02:55,81398988,12848966,NORMAL,8,Lontra
807,2023-05-11 13:01:48,131146732,57848476,NORMAL,8,Lontra
815,2023-05-11 13:02:54,128153017,39862164,NORMAL,8,Lontra
819,2023-05-11 13:01:47,60859013,2086480,NORMAL,8,Lontra
821,2023-05-11 13:02:54,128153017,39862164,NORMAL,8,Lontra
822,2023-05-11 13:02:54,128153017,39862164,NORMAL,8,Lontra
823,2023-05-11 13:02:54,128153017,39862164,NORMAL,8,Lontra
828,2023-05-11 16:14:59,128153017,39862164,NORMAL,8,Lontra
840,2023-05-11 13:01:47,99988660,1584753,NORMAL,8,Lontra
845,2023-05-11 13:02:54,135035153,32811859,NORMAL,8,Lontra
849,2023-05-11 13:02:54,135041950,6884888,NORMAL,8,Lontra
855,2023-05-11 13:01:48,131197737,57860975,NORMAL,8,Lontra
871,2023-05-11 13:01:34,121576373,55848047,NORMAL,8,Lontra
873,2023-05-11 13:01:32,121584101,55849237,NORMAL,8,Lontra
889,2023-05-11 13:02:54,135343025,11852787,NORMAL,8,Lontra
890,2023-05-11 13:02:54,135343025,11852787,NORMAL,8,Lontra
892,2023-05-11 13:02:54,135343025,11852787,NORMAL,8,Lontra
895,2023-05-11 13:02:54,135343025,11852787,NORMAL,8,Lontra
898,2023-05-11 13:01:47,103806131,39890695,NORMAL,8,Lontra
916,2023-05-11 13:02:54,81398935,33835090,NORMAL,8,Lontra
923,2023-05-11 13:01:32,121568356,55845283,NORMAL,8,Lontra
931,2023-05-11 16:14:57,135480507,55848980,NORMAL,8,Lontra
942,2023-05-11 13:01:41,77104946,39861804,NORMAL,8,Lontra
959,2023-05-11 13:02:54,81398553,33839704,NORMAL,8,Lontra
969,2023-05-11 13:01:47,103826242,46809335,NORMAL,8,Lontra
992,2023-05-11 13:01:35,121584413,55849379,NORMAL,8,Lontra
995,2023-05-11 13:01:48,95187348,2582869,NORMAL,8,Lontra
1016,2023-05-11 13:01:47,135341599,22818544,NORMAL,8,Lontra
1024,2023-05-11 13:01:48,103846502,46843200,NORMAL,8,Lontra
1026,2023-05-11 13:01:47,96375520,2588301,NORMAL,8,Lontra
1062,2023-05-11 13:01:32,121568788,55845486,NORMAL,8,Lontra
1085,2023-05-11 13:02:53,135032750,36827370,NORMAL,8,Lontra
1092,2023-05-11 13:01:31,122556905,44809206,CRITICO,8,Lontra
1109,2023-05-11 13:01:48,103871035,46876657,NORMAL,8,Lontra
1114,2023-05-11 13:01:47,103832025,46817354,NORMAL,8,Lontra
1121,2023-05-11 13:01:47,62032984,2686578,NORMAL,8,Lontra
1153,2023-05-11 13:01:34,123862435,47826730,NORMAL,8,Lontra
1157,2023-05-11 13:02:53,81398141,31828699,NORMAL,8,Lontra
1160,2023-05-11 13:01:32,121584572,55849463,NORMAL,8,Lontra
1183,2023-05-11 16:14:49,135480273,55893897,NORMAL,8,Lontra
1190,2023-05-11 13:01:33,121584467,55849415,NORMAL,8,Lontra
1205,2023-05-11 13:01:47,91154021,2081625,NORMAL,8,Lontra
1215,2023-05-11 13:01:33,108019062,38861591,NORMAL,8,Lontra
1224,2023-05-11 13:01:47,135341288,57833,NORMAL,8,Lontra
1256,2023-05-11 13:01:31,122284124,42844514,CRITICO,8,Lontra
1260,2023-05-11 13:01:47,67811979,1884385,NORMAL,8,Lontra
1272,2023-05-11 13:01:47,85500719,1784885,NORMAL,8,Lontra
1287,2023-05-11 13:02:52,135028543,44819664,NORMAL,8,Lontra
1291,2023-05-11 13:01:47,135566698,43841195,NORMAL,8,Lontra
1299,2023-05-11 13:01:31,125862749,39840669,NORMAL,8,Lontra
1304,2023-05-11 13:01:47,88795654,2586388,NORMAL,8,Lontra
1316,2023-05-11 13:01:33,123834232,39837663,NORMAL,8,Lontra
1318,2023-05-11 13:01:46,86662593,728094,CRITICO,8,Lontra
1340,2023-05-11 13:01:47,86023590,1182429,NORMAL,8,Lontra
1359,2023-05-11 13:02:52,81379155,40892201,NORMAL,8,Lontra
1389,2023-05-11 13:01:47,80400773,1182076,CRITICO,8,Lontra
1391,2023-05-11 13:02:52,135025557,41875823,NORMAL,8,Lontra
1396,2023-05-11 13:01:46,53442449,518452,CRITICO,8,Lontra
1421,2023-05-11 13:01:46,85922116,1285927,NORMAL,8,Lontra
1444,2023-05-11 13:01:47,76036659,1788027,NORMAL,8,Lontra
1464,2023-05-11 13:01:31,123865446,40880365,NORMAL,8,Lontra
1473,2023-05-11 13:01:45,67092275,14864855,NORMAL,8,Lontra
1493,2023-05-11 13:02:51,135024619,8885983,NORMAL,8,Lontra
1499,2023-05-11 13:01:46,60603001,1282439,CRITICO,8,Lontra
1508,2023-05-11 13:01:33,121570542,55846120,NORMAL,8,Lontra
