,created_at,product_code,customer_code,status,tipo,nome_tipo
7,2023-05-11 13:01:49,54091948,14941888,NORMAL,9,Ornitorrinco
25,2023-05-11 13:02:59,135050155,22957783,NORMAL,9,Ornitorrinco
26,2023-05-11 13:02:59,135053001,30932805,NORMAL,9,Ornitorrinco
70,2023-05-11 13:01:49,53713133,14931270,NORMAL,9,Ornitorrinco
136,2023-05-11 13:01:48,103913794,46990629,NORMAL,9,Ornitorrinco
141,2023-05-11 13:01:49,54118616,14941537,NORMAL,9,Ornitorrinco
147,2023-05-11 13:01:49,53735769,14911653,NORMAL,9,Ornitorrinco
158,2023-05-11 13:01:49,74769095,4498799,NORMAL,9,Ornitorrinco
169,2023-05-11 13:01:48,103901168,46958216,NORMAL,9,Ornitorrinco
247,2023-05-11 13:01:49,86048167,4497380,NORMAL,9,Ornitorrinco
256,2023-05-11 13:01:35,121570504,48929219,NORMAL,9,Ornitorrinco
262,2023-05-11 13:01:49,85488962,4794236,CRITICO,9,Ornitorrinco
263,2023-05-11 13:01:49,53929022,14939094,NORMAL,9,Ornitorrinco
289,2023-05-11 13:02:57,135047289,2898562,NORMAL,9,Ornitorrinco
301,2023-05-11 13:01:47,87209190,959281,CRITICO,9,Ornitorrinco
302,2023-05-11 13:01:47,62228623,1193106,CRITICO,9,Ornitorrinco
305,2023-05-11 13:01:48,84676911,1897092,CRITICO,9,Ornitorrinco
306,2023-05-11 13:01:48,103902136,46960614,NORMAL,9,Ornitorrinco
315,2023-05-11 16:15:16,135573806,5392964,NORMAL,9,Ornitorrinco
318,2023-05-11 13:01:48,93650520,2992948,CRITICO,9,Ornitorrinco
334,2023-05-11 13:02:57,135039977,33979350,NORMAL,9,Ornitorrinco
364,2023-05-11 13:01:48,103914172,46991317,NORMAL,9,Ornitorrinco
390,2023-05-11 13:01:49,86463465,4399957,CRITICO,9,Ornitorrinco
391,2023-05-11 13:02:57,81440704,15950427,CRITICO,9,Ornitorrinco
402,2023-05-11 13:02:53,81398760,36958485,NORMAL,9,Ornitorrinco
421,2023-05-11 13:01:35,128175815,9291085,NORMAL,9,Ornitorrinco
449,2023-05-11 16:15:10,135573805,5392964,NORMAL,9,Ornitorrinco
473,2023-05-11 13:01:48,75908424,1596477,NORMAL,9,Ornitorrinco
485,2023-05-11 13:01:36,122272021,2696895,CRITICO,9,Ornitorrinco
511,2023-05-11 13:01:48,103914204,46991395,NORMAL,9,Ornitorrinco
521,2023-05-11 13:01:47,85427325,2893544,CRITICO,9,Ornitorrinco
534,2023-05-11 13:02:56,135038172,33915569,NORMAL,9,Ornitorrinco
535,2023-05-11 13:02:56,135038622,16970383,NORMAL,9,Ornitorrinco
544,2023-05-11 13:01:32,105119571,46955110,NORMAL,9,Ornitorrinco
563,2023-05-11 13:01:48,103884143,46911838,NORMAL,9,Ornitorrinco
584,2023-05-11 13:01:48,86458149,2696068,CRITICO,9,Ornitorrinco
592,2023-05-11 13:01:48,94622500,3490636,CRITICO,9,Ornitorrinco
619,2023-05-11 13:01:29,135343050,36958737,NORMAL,9,Ornitorrinco
622,2023-05-11 13:02:55,135034018,37940734,NORMAL,9,Ornitorrinco
661,2023-05-11 13:02:55,135045776,3892501,NORMAL,9,Ornitorrinco
674,2023-05-11 13:01:48,103895313,46943344,NORMAL,9,Ornitorrinco
696,2023-05-11 13:01:32,108025463,37955603,NORMAL,9,Ornitorrinco
