,created_at,product_code,customer_code,status,tipo,nome_tipo
29,2023-05-11 13:01:35,134503216,444622,CRITICO,4,Urso
32,2023-05-11 13:01:49,130924513,24493937,NORMAL,4,Urso
53,2023-05-11 13:01:49,129876574,20498361,NORMAL,4,Urso
54,2023-05-11 13:01:35,134500324,6143915,CRITICO,4,Urso
59,2023-05-11 13:01:36,128167584,12478717,NORMAL,4,Urso
63,2023-05-11 13:02:58,135052146,16488217,NORMAL,4,Urso
81,2023-05-11 13:02:58,135052433,51452852,NORMAL,4,Urso
100,2023-05-11 13:01:36,126404227,2443843,CRITICO,4,Urso
101,2023-05-11 13:01:48,75784785,704097,NORMAL,4,Urso
109,2023-05-11 13:01:35,134496122,7446488,CRITICO,4,Urso
113,2023-05-11 13:02:58,135051592,12441368,NORMAL,4,Urso
130,2023-05-11 13:01:36,135066494,24460531,NORMAL,4,Urso
161,2023-05-11 13:01:49,54175828,5542316,NORMAL,4,Urso
183,2023-05-11 13:01:48,53730244,12485104,NORMAL,4,Urso
191,2023-05-11 13:01:48,135126574,53413757,NORMAL,4,Urso
193,2023-05-11 13:01:48,103261056,2946139,NORMAL,4,Urso
230,2023-05-11 13:01:36,130391800,4948629,NORMAL,4,Urso
241,2023-05-11 13:01:49,74500294,3245743,NORMAL,4,Urso
253,2023-05-11 13:02:58,81443471,13431508,CRITICO,4,Urso
254,2023-05-11 13:01:49,61133557,3246012,NORMAL,4,Urso
259,2023-05-11 13:02:57,81453269,12411043,CRITICO,4,Urso
278,2023-05-11 13:02:57,131349439,36487721,NORMAL,4,Urso
280,2023-05-11 13:02:57,135048148,9648548,NORMAL,4,Urso
333,2023-05-11 13:01:35,135070619,1644522,NORMAL,4,Urso
337,2023-05-11 13:01:32,108620413,36492797,NORMAL,4,Urso
359,2023-05-11 13:01:48,53948388,994473,NORMAL,4,Urso
377,2023-05-11 13:02:57,135046749,22450627,NORMAL,4,Urso
451,2023-05-11 13:01:48,60191492,3347154,NORMAL,4,Urso
453,2023-05-11 16:15:10,130564315,44490455,NORMAL,4,Urso
454,2023-05-11 13:02:56,130564315,44490455,NORMAL,4,Urso
459,2023-05-11 13:02:56,130564315,44490455,NORMAL,4,Urso
460,2023-05-11 13:02:56,130564315,44490455,NORMAL,4,Urso
461,2023-05-11 13:02:56,130564315,44490455,NORMAL,4,Urso
477,2023-05-11 13:01:36,123867874,9645358,NORMAL,4,Urso
491,2023-05-11 13:01:36,135378145,9049299,NORMAL,4,Urso
499,2023-05-11 13:01:48,86170472,3144533,NORMAL,4,Urso
